trial,strategy,game_outcome,num_of_AI_moves,num_of_human_moves,spaces_left
1,defensive,lose,16,16,10
2,defensive,lose,13,13,16
3,defensive,lose,12,12,18
4,defensive,lose,19,19,4
5,defensive,lose,20,20,2
6,defensive,lose,17,17,8
7,defensive,lose,7,7,28
8,defensive,lose,16,16,10
9,defensive,lose,20,20,2
10,defensive,won,9,10,23
11,normal,won,14,15,13
12,normal,lose,11,11,20
13,normal,lose,9,9,24
14,normal,lose,12,12,18
15,normal,won,9,9,24
16,normal,lose,17,18,7
17,normal,lose,9,9,24
18,normal,lose,16,16,10
19,normal,lose,12,12,18
20,normal,lose,16,16,10
21,defensive,lose,15,15,12
22,defensive,lose,17,17,8
23,defensive,draw,21,21,0
24,defensive,lose,18,18,6
25,defensive,lose,9,9,24
26,defensive,lose,20,20,2
27,defensive,lose,20,20,2
28,defensive,lose,17,17,8
29,defensive,lose,19,19,4
30,defensive,won,17,18,7
31,normal,lose,12,12,18
32,normal,lose,16,16,10
33,normal,lose,8,8,26
34,normal,won,17,18,7
35,normal,lose,9,9,24
36,normal,lose,16,16,10
37,normal,lose,13,13,16
38,normal,lose,8,8,26
39,normal,lose,20,20,2
40,normal,draw,21,21,0
